Top_B,Jun_B,Mid_B,ADC_B,Sup_B,Top_R,Jun_R,Mid_R,ADC_R,Sup_R,Top_B_Gold,Jun_B_Gold,Mid_B_Gold,ADC_B_Gold,Sup_B_Gold,Top_R_Gold,Jun_R_Gold,Mid_R_Gold,ADC_R_Gold,Sup_R_Gold,Top_B_Damage,Jun_B_Damage,Mid_B_Damage,ADC_B_Damage,Sup_B_Damage,Top_R_Damage,Jun_R_Damage,Mid_R_Damage,ADC_R_Damage,Sup_R_Damage
LetMe,Karsa,xiaohu,Uzi,Ming,Licorice,Svenskeren,Jensen,Sneaky,Zeyzal,9420,9394,8769,14125,7206,8611,7033,8667,7763,5027,3427,7907,3549,13744,2920,8761,6689,6947,5774,2058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiin,Spirit,kurO,Kramer,TusiN,Wunder,Jankos,Perkz,Hjarnan,Wadid,12318,10256,12691,15334,7181,14876,11799,16001,16000,9032,8864,3389,6379,5616,1893,13510,4510,18425,19840,3384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeros,Meliodas,Naul,BigKoro,Palette,Hanabi,MooJin,Maple,Betty,SwordArt,9786,7557,8078,8899,5845,11018,10988,9155,12245,5957,9873,5308,5680,5875,3721,7923,11356,4263,8358,3225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray,Haro,Scout,iBOY,meiko,Liang,Kongyue,Uniboy,Breeze,K,14383,13442,16998,19318,10279,13746,11958,14654,17255,8864,16856,11094,23665,35600,5008,14435,12254,20363,40022,2911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smeb,Score,Ucal,Deft,Mata,Impact,Xmithie,Pobelter,Doublelift,Olleh,13514,11385,16830,15345,8363,11141,8653,12198,13047,7598,10912,4992,12873,11458,3323,13461,6959,6211,11197,2228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Khan,Peanut,Bdd,PraY,GorillA,12379,11824,12098,17521,8992,10253,9391,11404,12159,6844,16317,5918,8677,33545,6312,12893,2452,12748,13074,3108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Khan,Peanut,Bdd,PraY,GorillA,11999,9944,11668,14477,7900,13616,10255,13815,15822,9171,10835,4043,7346,21573,7576,10274,2168,8753,20469,3125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Khan,Peanut,Bdd,PraY,GorillA,9576,9823,12421,15359,7251,10708,7112,7837,8517,5544,7253,6395,16757,25037,5212,14771,3245,7245,5047,2518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Khan,Peanut,Bdd,PraY,GorillA,13850,11770,14169,19357,8434,14606,12475,14525,16101,10249,10429,3490,11080,26148,5219,9373,4003,17531,12967,4898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Khan,Peanut,Bdd,PraY,GorillA,16302,10783,14923,17044,9817,19489,14555,18412,22615,12283,9127,3412,25605,17541,3401,13567,4736,12564,43539,3120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Khan,Peanut,Bdd,PraY,GorillA,10734,11369,12910,14521,9586,10269,8223,9361,10263,5824,8685,3974,12075,16995,5743,10256,5464,14663,21409,2271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Peanut,Bdd,PraY,GorillA,Hanabi,MooJin,Maple,Betty,SwordArt,14365,10703,13483,14127,8759,9470,9430,12754,14163,7386,19001,4107,16753,22506,6398,7435,4993,6327,16380,4283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Khan,Peanut,Bdd,PraY,GorillA,13553,9953,11947,11947,7528,16173,12377,14290,15688,9644,16273,6254,12560,12277,2686,22568,5147,17059,21815,9631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,LetMe,Karsa,xiaohu,Uzi,Ming,11625,11315,14693,15024,7773,14999,12666,16698,18218,9775,15338,11193,24566,22167,7552,18877,7416,22689,33281,8666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,LetMe,Karsa,xiaohu,Uzi,Ming,17189,13530,16085,20055,9515,14602,13291,19088,23258,11466,27955,6567,22777,47103,6685,21108,8084,33037,31684,5470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,LetMe,Mlxg,xiaohu,Uzi,Ming,20447,14074,19260,23426,11983,17137,17979,20326,24173,12668,22796,6120,34237,56771,6498,16087,18944,24300,46835,6641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Impact,Xmithie,Pobelter,Doublelift,Olleh,13786,12185,15133,19435,10498,13155,9727,10864,15188,7547,19464,4034,25393,25088,5759,13595,7821,15137,28790,3915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,LetMe,Mlxg,xiaohu,Uzi,Ming,11767,8283,9130,8865,5308,10976,11782,12367,16535,7932,13330,4195,8311,5519,2828,10132,8196,9569,23021,2796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,LetMe,Mlxg,xiaohu,Uzi,Ming,10706,10242,11716,12209,8338,12261,13303,13157,18659,9549,8195,3922,12213,13380,5409,8849,8768,13659,33229,4785
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Khan,Cuzz,Bdd,PraY,GorillA,10714,11101,11575,12935,7882,7963,7018,9648,9956,5380,7485,10034,20675,21296,3594,9236,2188,5334,7101,1707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Stark,YiJin,Warzone,Slay,RonOP,13711,10514,12402,12865,7789,14609,13335,15313,18877,9857,18944,3283,21288,11201,3678,12163,3970,9266,24395,5435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Impact,Xmithie,Pobelter,Doublelift,Olleh,12969,12962,13288,17736,8711,14224,12860,15450,21331,11083,6233,2227,12987,29161,4214,11619,9188,18326,37049,4358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,YiJin,Warzone,Slay,RonOP,LetMe,Mlxg,xiaohu,Uzi,Ming,9574,10119,10293,10349,5632,13407,9149,12546,15729,8691,4899,5450,7537,6048,1190,8473,2241,19048,26187,7801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Khan,Cuzz,Bdd,PraY,GorillA,10332,9967,13530,14942,7931,19639,13550,13706,17632,9482,12132,6118,12820,15584,6412,24583,13775,16019,30328,5164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Bwipo,Broxah,Caps,Rekkles,Hylissang,16123,14032,15697,19636,10710,13275,13373,12200,16950,8169,12239,9434,14961,27678,4656,15310,14093,21587,30021,6362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Cuzz,Bdd,PraY,GorillA,Stark,YiJin,Warzone,Slay,RonOP,12669,11563,12876,14049,8492,9910,7506,8600,9720,5301,6029,12552,20037,22523,3303,7515,4626,11949,7856,2665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Karsa,xiaohu,Uzi,Ming,Hanabi,MooJin,Maple,Betty,SwordArt,13053,11825,13184,16084,7959,9597,7832,10232,10622,6584,9825,6104,9532,14536,4805,7614,2488,4774,6197,1986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,YiJin,Warzone,Slay,RonOP,Impact,Xmithie,Pobelter,Doublelift,Olleh,11395,9741,11701,15969,6829,16753,13358,15207,19441,10798,8675,12267,15495,25970,5217,7400,5446,19172,27282,6441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Hanabi,MooJin,Maple,Betty,SwordArt,14648,11522,13845,17213,9213,10820,11568,13744,15446,7445,12304,6019,11980,10504,4578,9054,9280,17522,21032,5483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Peanut,Bdd,PraY,GorillA,LetMe,Mlxg,xiaohu,Uzi,Ming,11464,10005,10102,11607,6351,13017,10092,13105,18200,8538,6842,8772,9816,15110,4521,10973,6324,9932,20165,4325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Khan,Peanut,Bdd,PraY,GorillA,10213,10142,11573,13399,7497,14300,12916,16188,15974,10298,9715,3648,9544,18772,4265,9816,11794,31568,15070,4681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Stark,YiJin,Warzone,Slay,RonOP,11466,10637,9733,12018,8001,7964,8705,10223,9000,5429,13669,6109,6083,12964,3689,9439,4092,12294,6702,4725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Bwipo,Broxah,Caps,Rekkles,Hylissang,14864,15620,18344,21711,12174,14142,12198,16768,18660,10118,10314,17507,21601,39420,8569,14100,6903,28540,18116,3378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Peanut,Bdd,PraY,GorillA,Hanabi,MooJin,Maple,Betty,SwordArt,15696,12707,15110,18884,10497,18102,14867,16304,20199,10699,13898,4662,11179,27718,1530,11137,17129,14706,37622,2979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,YiJin,Warzone,Slay,RonOP,sOAZ,Broxah,Caps,Rekkles,Hylissang,19787,12244,15234,15841,9607,14757,14150,20405,22542,12719,15228,7706,18887,10325,4950,7575,4770,24158,22717,4468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Impact,Xmithie,Pobelter,Doublelift,Olleh,10955,11470,13671,15549,8222,15111,12880,14302,21746,10204,8256,6578,16857,14366,4367,4002,3563,9822,30073,6642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,Impact,Xmithie,Pobelter,Doublelift,Olleh,12370,11103,14917,15492,8517,10010,9275,11079,13103,6577,11023,4884,16402,14963,3986,9625,7797,9736,11022,4050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,LetMe,Mlxg,xiaohu,Uzi,Ming,11604,9689,11722,14082,8245,10060,7833,11019,12865,6588,9292,1438,12982,17514,3872,11728,4422,7043,13774,4538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,YiJin,Warzone,Slay,RonOP,Khan,Peanut,Bdd,PraY,GorillA,10096,10273,11544,15384,7659,16162,11828,12550,16664,8565,4701,5582,14589,13084,4197,19199,8162,15716,20914,5068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Joey,Hanabi,MooJin,Maple,Betty,SwordArt,8705,7444,8938,9548,5416,12175,11042,10779,13016,7936,6262,3461,5844,9001,2668,8133,7747,7097,15812,6262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Stark,YiJin,Warzone,Slay,RonOP,13963,11882,16299,18080,10296,11016,9736,11376,12272,6399,8580,11626,21321,21456,7163,7699,5138,8483,14575,1685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Peanut,Bdd,PraY,GorillA,Bwipo,Broxah,Caps,Rekkles,Hylissang,14708,10042,12249,14552,8826,15108,11950,16684,18169,9394,17766,2790,9968,21748,5501,22588,5113,27503,16700,3573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Khan,Peanut,Bdd,PraY,GorillA,11788,10212,12422,16846,9314,15515,14983,15473,19131,10035,11455,3639,11484,21468,2407,15500,12866,11240,30749,3146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Xmithie,Pobelter,Doublelift,Olleh,Stark,YiJin,Warzone,Slay,RonOP,18510,11288,14125,15991,9213,17247,14500,18045,19024,9142,32788,5509,20517,48117,8052,18983,11017,34110,34611,5763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanabi,MooJin,Maple,Betty,SwordArt,Bwipo,Broxah,Caps,Rekkles,Hylissang,11727,11902,16961,18240,8927,13524,11520,13679,14588,8476,8880,4941,26118,21944,5357,26167,3123,18970,25592,8467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Peanut,Bdd,PraY,GorillA,Impact,Xmithie,Pobelter,Doublelift,Olleh,12559,10857,12400,16313,8524,10987,9925,12002,12628,7194,9956,5928,12028,33538,6529,11109,8910,7472,11665,4548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stark,YiJin,Warzone,Slay,RonOP,Hanabi,MooJin,Maple,Betty,SwordArt,7896,7291,9036,9261,5142,12694,9350,13306,12193,8501,7954,4951,7670,12122,2124,11452,5821,26751,13895,8440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwipo,Broxah,Caps,Rekkles,Hylissang,LetMe,Mlxg,xiaohu,Uzi,Ming,13187,10753,14380,14821,8294,13549,11779,15451,18608,9124,13549,3517,17493,7816,2966,7650,5723,8748,19359,2559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Huni,Peanut,Faker,Bang,Wolf,17007,12579,15932,17539,12211,13529,10030,14529,13679,10072,19955,2524,16343,21146,1355,11883,3648,9039,8902,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Huni,Peanut,Faker,Bang,Wolf,15357,11557,14190,16092,11898,13749,9377,14073,11230,9259,14250,7661,17496,23050,612,7267,4665,14168,12383,4120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Huni,blank,Faker,Bang,Wolf,14812,13252,15667,17180,12621,17717,12713,15498,16678,10316,19726,12453,24340,37157,6881,19696,10786,19106,40335,5148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,CuVee,Ambition,Crown,Ruler,CoreJJ,10903,9939,13139,14110,8942,8402,7657,9587,9979,5872,5257,6382,17764,20772,4541,11567,3234,7732,8789,1111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,957,Condi,xiye,Mystic,Ben,13652,10068,12297,12847,10129,9334,8183,10382,10149,8480,14782,7372,14986,15234,1807,15498,6162,8483,6714,3101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,CuVee,Ambition,Crown,Ruler,CoreJJ,11937,9697,13452,14022,9525,15623,11905,17582,18409,12078,11399,3188,9801,21031,3309,19431,6216,16696,25643,2365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,957,Condi,xiye,Mystic,Ben,13126,11191,12632,15592,10400,10786,10097,11592,12034,8869,11332,5027,8511,11495,4108,11132,6642,9684,9922,756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Huni,blank,Faker,Bang,Wolf,17146,14647,16940,17419,13775,17588,10262,13994,14136,9020,14773,17932,23233,32967,3706,26926,7696,9336,13651,5538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,blank,Faker,Bang,Wolf,LetMe,Mlxg,xiaohu,Uzi,Ming,13875,10578,13519,13538,9381,10871,8796,10557,9965,6881,14139,6639,13038,13849,3537,12470,7920,19209,9391,2727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Huni,blank,Faker,Bang,Wolf,8568,8378,9553,11138,7377,8184,7099,7306,8943,6499,9431,8242,9978,14522,2624,6923,4563,9429,14699,3602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,Peanut,Faker,Bang,Wolf,LetMe,Mlxg,xiaohu,Uzi,Ming,14070,10129,13312,14375,11314,11234,9545,11973,12914,8758,14195,7360,12405,27047,2686,14400,6796,13341,16325,6022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,Huni,Peanut,Faker,Bang,Wolf,12895,10628,18170,17102,10196,17410,14922,17417,18155,13439,3907,2929,17666,15241,1001,15241,5151,11095,27223,3640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,Impact,Contractz,Jensen,Sneaky,Smoothie,17843,16830,24163,23214,17722,19934,16859,21958,22326,15939,15696,9601,50464,61195,4041,24944,13852,45312,96476,4936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Contractz,Jensen,Sneaky,Smoothie,957,Condi,xiye,Mystic,Ben,12995,12083,15503,14311,9939,10183,10083,12613,13398,9783,16489,10463,22429,25390,2151,8901,7549,19616,24837,6091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,Impact,Contractz,Jensen,Sneaky,Smoothie,7459,6165,9427,7824,5611,9377,9120,10147,12599,8941,6593,7562,17607,11764,2501,8822,6901,7582,20980,2667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Contractz,Jensen,Sneaky,Smoothie,957,Condi,xiye,Mystic,Ben,11536,9173,12632,12859,7472,12868,11399,15028,16077,12008,9632,12047,28309,25397,2918,15332,7400,21033,30803,5932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,Impact,Contractz,Jensen,Sneaky,Smoothie,13773,11045,12565,15868,11265,10598,9529,12552,12368,7840,17028,5887,11286,28465,1782,8174,10872,18160,16409,1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Jesiz,LetMe,Mlxg,xiaohu,Uzi,Ming,14277,11800,14588,21428,12455,17153,15251,18321,21332,13059,15122,9710,42536,48382,5460,22000,11855,24786,45046,3761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Jesiz,LetMe,Mlxg,xiaohu,Uzi,Ming,15053,12946,17311,21090,14002,13964,12824,18655,21688,12135,10077,7330,16320,19380,2611,12401,7750,20763,27304,3230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Jesiz,LetMe,Mlxg,xiaohu,Uzi,Ming,18542,16944,22015,25875,16887,17798,17636,19154,33624,19124,38010,11837,72829,78127,12043,16665,25426,16314,83394,10266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Jesiz,LetMe,Mlxg,xiaohu,Uzi,Ming,15483,12701,13325,16396,11140,13147,12434,20191,18436,12038,17319,4273,12581,15862,1810,3549,4755,34324,28239,4733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,Peanut,Faker,Bang,Wolf,Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,12450,9756,12035,12396,7539,6777,7000,8544,7836,5221,16004,6192,8172,16107,4041,8277,3730,4758,8799,2834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,Huni,Peanut,Faker,Bang,Wolf,10759,10117,10364,13729,7588,8710,7172,9364,8620,5813,11004,5585,7042,20804,4858,5346,3458,7893,7394,658
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,blank,Faker,Bang,Wolf,Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,15391,11155,16287,16005,9464,17115,13592,17447,20410,12911,23600,7198,19189,16798,3954,7689,6763,23906,34229,6248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,Huni,blank,Faker,Bang,Wolf,13590,11377,12541,14849,9487,13646,11550,18081,19154,10460,17824,9828,15148,32988,5188,12236,5327,20955,47681,4707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,blank,Faker,Bang,Wolf,Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,16387,11468,15873,15293,10136,12978,9944,14077,14160,9166,17085,2736,13832,13977,5449,7511,3148,20321,8044,1869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Cuzz,Bdd,PraY,GorillA,CuVee,Ambition,Crown,Ruler,CoreJJ,16308,12979,17938,18654,11505,17547,15994,19064,20840,13952,11137,6555,32646,30431,4807,27307,12195,28885,38078,3702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan,Cuzz,Bdd,PraY,GorillA,CuVee,Ambition,Crown,Ruler,CoreJJ,9515,8114,10566,9732,8183,12975,11203,14972,13700,10044,12482,4760,11802,10781,2735,15466,9238,19779,17162,3706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Khan,Cuzz,Bdd,PraY,GorillA,13687,11845,15877,16263,10464,12379,8565,12959,12629,9085,14342,10561,16224,28682,3856,13696,7775,19020,16929,5171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huni,blank,Faker,Bang,Wolf,Mouse,ClearLove,Scout,iBOY,meiko,16842,11871,14784,15964,12286,12708,11908,14751,17156,10121,15667,6770,22128,21191,2639,10710,5259,15750,21440,2840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Contractz,Jensen,Sneaky,Smoothie,Ziv,Mountain,westdoor,An,Albis,9336,8752,10525,10814,8294,7442,6285,7154,7228,5859,14330,8139,12872,14929,1383,8630,4349,7861,8847,2714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact,Contractz,Jensen,Sneaky,Smoothie,Huni,blank,Faker,Bang,Wolf,13405,12714,15225,15802,12135,18561,11379,15571,17130,13465,16672,16966,18572,20990,2066,32011,4963,11515,28391,3670
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv,Mountain,Chawy,An,Albis,Mouse,ClearLove,Scout,iBOY,meiko,9292,6977,8634,7375,5728,8509,8150,11172,13379,9480,9416,4552,2106,7573,231,3017,3038,9914,17530,992
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,ClearLove,Scout,iBOY,meiko,Impact,Contractz,Jensen,Sneaky,Smoothie,12644,13166,14359,18013,12778,11768,11023,12857,11817,10198,12866,16897,12159,35266,3421,8874,13137,17038,24950,3210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv,Mountain,westdoor,An,Albis,Huni,Peanut,Faker,Bang,Wolf,14722,13394,14477,17201,12162,14430,11003,14591,14336,10075,14011,13325,13912,21703,1723,14520,9481,22755,9971,2198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,Hauntzer,Svenskeren,Bjergsen,Doublelift,Biofrost,13360,10695,13502,13082,8773,9696,8713,11372,11213,8495,11656,6650,21193,14857,1227,14540,7311,12929,15836,4117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,957,Condi,xiye,Mystic,Ben,13672,14224,15099,19319,14815,14772,14729,19325,20903,15244,19437,11713,22396,40989,3891,15645,4890,26935,36346,3883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauntzer,Svenskeren,Bjergsen,Doublelift,Biofrost,MMD,Karsa,Maple,Betty,SwordArt,7806,6525,8820,8451,6490,12639,10194,10680,10990,8864,9160,4903,11399,9607,2985,15329,9651,16593,17621,2624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauntzer,Svenskeren,Bjergsen,Doublelift,Biofrost,Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,16470,13710,18161,17110,13408,13765,12002,14537,16016,10535,10256,8764,18240,27481,4825,8484,5458,20624,32350,6855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMD,Karsa,Maple,Betty,SwordArt,957,Condi,xiye,Mystic,Ben,8917,7876,9064,8552,7302,10624,8421,13087,13481,9898,9808,6708,10957,18540,1238,11290,3099,21639,33700,1852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Condi,xiye,Mystic,Ben,Hauntzer,Svenskeren,Bjergsen,Doublelift,Biofrost,10041,9242,11209,11474,9633,9644,6671,8319,7817,5852,11625,5630,18335,18866,1933,8433,3232,7147,8509,2346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphari,Maxlore,PowerOfEvil,Hans sama,IgNar,MMD,Karsa,Maple,Betty,SwordArt,14903,12601,17232,19074,12107,15236,11928,17163,16012,11693,8526,4883,17281,17866,2937,7747,6456,21642,18802,5010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LetMe,Mlxg,xiaohu,Uzi,Ming,CuVee,Ambition,Crown,Ruler,CoreJJ,11455,11253,12817,16719,11069,12976,9608,12620,12152,9287,14379,5903,8321,26960,1516,8215,4410,16067,11903,5268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaldrin,Crash,Frozen,padden,Japone,Expect,Trick,Perkz,Zven,Mithy,16571,17150,19670,22144,16508,19522,16470,22502,26320,18477,29139,14873,53545,72449,7464,37561,15943,33752,64709,6368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaldrin,Crash,Frozen,padden,Japone,LetMe,Mlxg,xiaohu,Uzi,Ming,8373,7887,8737,8493,5613,11820,9859,10805,13296,9486,9694,1912,6001,12460,2904,9908,6024,10184,19008,1368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Expect,Trick,Perkz,Zven,Mithy,16703,16584,17434,21326,15450,13129,12450,16203,18240,13445,31969,22804,21288,57289,9102,20042,10569,29687,56253,2459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuVee,Ambition,Crown,Ruler,CoreJJ,Thaldrin,Crash,Frozen,padden,Japone,14516,13772,13307,16904,11711,11380,10768,12494,12335,7765,11782,14440,15012,31334,1827,15222,3933,14211,11480,6136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expect,Trick,Perkz,Zven,Mithy,LetMe,Mlxg,xiaohu,Uzi,Ming,10990,10514,12460,13521,9865,8047,8322,9578,10601,7130,9047,6543,14618,20642,2003,6591,4981,9964,20408,1337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie,Levi,Optimus,Noway,Sya,sOAZ,Broxah,Caps,Rekkles,Jesiz,13818,13874,16032,20777,13775,18958,14808,19183,20505,15679,13379,9263,13218,25467,4206,30124,11550,35943,28213,3527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sOAZ,Broxah,Caps,Rekkles,Jesiz,Flame,Xmithie,Pobelter,Cody Sun,Olleh,10542,10422,11931,13379,10341,9926,8532,9765,9748,7973,7611,6798,13990,11144,2327,4404,9423,12384,12040,1970
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
